brand,product_name,full_price_usd,sale_price_usd,image_url
Prada,Silk Broadcloth Midi-Dress,"$5,600",$750,/static/images/silk_broadcloth_mididress.jpg
Milly,Sofia 3D Floral Lace Dress,$750,$300,/static/images/sofia_3d_floral_lace_dress.jpg
Amsale,Faille Knee-Length Bridal Dress,$550,$300,/static/images/faille_kneelength_bridal_dress.jpg
SIMKHAI,Kenlie Mixed-Media Bubble Skirt Midi-Dress,$845,$398,/static/images/kenlie_mixedmedia_bubble_skirt_mididress.jpg
Mac Duggal,Embellished Grid Sheath Slip Gown,$398,$875,/static/images/embellished_grid_sheath_slip_gown.jpg
Zhivago,Isadora Floral Applique Minidress,$875,$300,/static/images/isadora_floral_applique_minidress.jpg
Ramy Brook,Amara Lacework Minidress,$375,$300,/static/images/amara_lacework_minidress.jpg
Carolina Herrera,Crystal-Embellished Silk Strapless Minidress,"$4,490","$1,346.99",/static/images/crystalembellished_silk_strapless_minidress.jpg
Dress The Population,Kailyn Embroidered Fit & Flare Gown,$528,$300,/static/images/kailyn_embroidered_fit_and_flare_gown.jpg
Hemant & Nandita,Adra Ruched Lace Gown,$548,$205.49,/static/images/adra_ruched_lace_gown.jpg
Amanda Uprichard,Bowery Strapless Minidress,$255,$114.74,/static/images/bowery_strapless_minidress.jpg
Staud,Le Sable Sequined Fringe-Trimmed Minidress,$995,$300,/static/images/le_sable_sequined_fringetrimmed_minidress.jpg
Nili Lotan,Cami Silk Charmeuse Gown,$650,$595,/static/images/cami_silk_charmeuse_gown.jpg
SACHIN BABI,Kelsi One-Shoulder Minidress,$595,$238,/static/images/kelsi_oneshoulder_minidress.jpg
Halston,Laure Cape Satin Draped Minidress,$495,$300,/static/images/laure_cape_satin_draped_minidress.jpg
Prada,Asymmetrical Satin Crepe Dress,"$3,850","$5,990",/static/images/asymmetrical_satin_crepe_dress.jpg
Carolina Herrera,Pleated Gathered Rose-Effect Minidress,"$5,990",$550,/static/images/pleated_gathered_roseeffect_minidress.jpg
Rebecca Taylor,Priya Pleated Cotton Fit & Flare Midi-Dress,$550,$300,/static/images/priya_pleated_cotton_fit_and_flare_mididress.jpg
Ronny Kobo,Amira Ruched Maxi Dress,$548,$246.59,/static/images/amira_ruched_maxi_dress.jpg
SIMKHAI,Analise Linen-Blend Bustier Midi-Dress,$495,"$1,350",/static/images/analise_linenblend_bustier_mididress.jpg
The New Arrivals Ilkyaz Ozel,Cindy Backless Sequin Gown,"$1,350",$675,/static/images/cindy_backless_sequin_gown.jpg
Elliatt,Zayla Floral Lace Puff-Sleeve Minidress,$410,$300,/static/images/zayla_floral_lace_puffsleeve_minidress.jpg
Brandon Maxwell,The Blair Silk Sheath Midi-Dress,"$2,600","$1,040",/static/images/the_blair_silk_sheath_mididress.jpg
Chiara Boni La Petite Robe,Gosia One-Shoulder Gown,$995,$300,/static/images/gosia_oneshoulder_gown.jpg
Up to $300 Off with Code MAYGET,Dress The Population,$488,$300,/static/images/dress_the_population.jpg
DÔEN,Piper Belted Ruffled Minidress,$328,$550,/static/images/piper_belted_ruffled_minidress.jpg
Bronx Banco,Maia Lace Long-Sleeve Minidress,$550,$300,/static/images/maia_lace_longsleeve_minidress.jpg
Likely,Lula Off-The-Shoulder Minidress,$348,$130.49,/static/images/lula_offtheshoulder_minidress.jpg
Elliatt,Optics Floral Lace Peplum Dress,$280,$300,/static/images/optics_floral_lace_peplum_dress.jpg
Amsale,Faille Fit-&-Flare Midi-Dress,$385,$300,/static/images/faille_fitandflare_mididress.jpg
Bronx Banco,Jasmine Maraya Floral Minidress,$750,$300,/static/images/jasmine_maraya_floral_minidress.jpg
Amsale,Strapless Silk Faille Bow Dress,$385,$300,/static/images/strapless_silk_faille_bow_dress.jpg
Amsale,Mikado Off-The-Shoulder Shift Dress,$385,$300,/static/images/mikado_offtheshoulder_shift_dress.jpg
Elliatt,Elder Embellished Minidress,$239,$300,/static/images/elder_embellished_minidress.jpg
Amsale,Duchesse Satin Strapless Dress,$385,$300,/static/images/duchesse_satin_strapless_dress.jpg
Mac Duggal,Ieena Jersey Asymmetric Gown,$238,$348,/static/images/ieena_jersey_asymmetric_gown.jpg
Reformation,Kairo Crepe Midi-Dress,$348,$174,/static/images/kairo_crepe_mididress.jpg
Elliatt,Callista Floral Lace Minidress,$365,$182.50,/static/images/callista_floral_lace_minidress.jpg
Norma Kamali,Asymmetric Strapless Lamé Gown,$195,$136.50,/static/images/asymmetric_strapless_lame_gown.jpg
Norma Kamali,Racerback Fishtail Gown,$325,$121.87,/static/images/racerback_fishtail_gown.jpg
Cinq à Sept,Marian Draped Gown,$695,$300,/static/images/marian_draped_gown.jpg
Amsale,Faille Deep V-Neck Dress,$385,$300,/static/images/faille_deep_vneck_dress.jpg
Likely,Hara Dress,$228,$114,/static/images/hara_dress.jpg
A.L.C.,Inez Satin Halter Dress,$495,$695,/static/images/inez_satin_halter_dress.jpg
Ramy Brook,Catrin Waterfall Hi-Low Gown,$695,$234.55,/static/images/catrin_waterfall_hilow_gown.jpg
SIMKHAI,Charlotte Embellished Jacquard Midi-Dress,"$1,295",$906.50,/static/images/charlotte_embellished_jacquard_mididress.jpg
SIMKHAI,Bryony Corseted Maxi Dress,$895,$626.50,/static/images/bryony_corseted_maxi_dress.jpg
SIMKHAI,Daila Floral Appliqué Sleeveless Maxi Dress,$745,$521.50,/static/images/daila_floral_applique_sleeveless_maxi_dress.jpg
A.L.C.,Eden Botanical Lace Minidress,$695,$278,/static/images/eden_botanical_lace_minidress.jpg
Nicholas the Label,Kaline Strapless Bustier Satin Minidress,$595,$416.50,/static/images/kaline_strapless_bustier_satin_minidress.jpg
Ronny Kobo,Amalyia Lace Maxi Dress,$598,$418.60,/static/images/amalyia_lace_maxi_dress.jpg
Cinq à Sept,Randa Split-Sleeve Turtleneck Minidress,$395,$237,/static/images/randa_splitsleeve_turtleneck_minidress.jpg
Faithfull the Brand,Maya Floral Eyelet Cotton-Blend Midi-Dress,$340,$127.49,/static/images/maya_floral_eyelet_cottonblend_mididress.jpg
Veronica Beard,Amberg Cotton-Linen Minidress,$698,$418.80,/static/images/amberg_cottonlinen_minidress.jpg
Milly,Raven Feather-Trim Metallic Tweed Minidress,$595,$297.50,/static/images/raven_feathertrim_metallic_tweed_minidress.jpg
Balmain,Tartan Flared Minidress,"$2,550","$1,530",/static/images/tartan_flared_minidress.jpg
Staud,Isa Eyelet Maxi Dress,$550,$206.24,/static/images/isa_eyelet_maxi_dress.jpg
Rebecca Vallance,Deliah High-Waisted Midi-Dress,"$1,360",$952,/static/images/deliah_highwaisted_mididress.jpg
Significant Other,Maddie Braided Bust Midi-Dress,$350,$157.49,/static/images/maddie_braided_bust_mididress.jpg
Favorite Daughter,The Truly Madly Minidress,$288,$201.60,/static/images/the_truly_madly_minidress.jpg
Likely,Sariah Sequined Bow Strapless Midi-Dress,$368,$257.60,/static/images/sariah_sequined_bow_strapless_mididress.jpg
Toccin,Gramercy Lace A-Line Minidress,$695,$347.50,/static/images/gramercy_lace_aline_minidress.jpg
Ramy Brook,Lynn Metallic Chain Midi-Dress,$495,$247.50,/static/images/lynn_metallic_chain_mididress.jpg
Acler,Croanford Appliqué Minidress,$545,$272.50,/static/images/croanford_applique_minidress.jpg
Generation Love,Garcia Lace Halterneck Maxi Dress,$365,$182.50,/static/images/garcia_lace_halterneck_maxi_dress.jpg
Chiara Boni La Petite Robe,Ryosei Sequined Column Gown,"$1,295",$582.75,/static/images/ryosei_sequined_column_gown.jpg
Embroidered Cotton Voile & Chiffon Knee-Length,Dress,$750,$450,/static/images/dress.jpg
Generation Love,Vincent Crystal Pointelle-Knit Maxi Dress,$295,$206.50,/static/images/vincent_crystal_pointelleknit_maxi_dress.jpg
Zhivago,Battle Lines Floral-Embellished Vendetta Dress,$750,$375,/static/images/battle_lines_floralembellished_vendetta_dress.jpg
LoveShackFancy,Laurelin Lace Halter Minidress,$345,$129.37,/static/images/laurelin_lace_halter_minidress.jpg
Cinq à Sept,Vineyard Lace Minidress,$395,$276.50,/static/images/vineyard_lace_minidress.jpg
Nonchalant Label,Piper Sleeveless Minidress,$278,$125.09,/static/images/piper_sleeveless_minidress.jpg
Amsale,Pleated Strapless Cocktail Dress,$795,$397.50,/static/images/pleated_strapless_cocktail_dress.jpg
SACHIN BABI,Sadie Embellished Lace Strapless Cocktail Dress,$895,$358,/static/images/sadie_embellished_lace_strapless_cocktail_dress.jpg
Dress The Population,Marissa Puff-Sleeve Lace Minidress,$298,$119.20,/static/images/marissa_puffsleeve_lace_minidress.jpg
Amsale,Mikado A-Line Midi-Dress,$695,$486.50,/static/images/mikado_aline_mididress.jpg
Amsale,Crepe Draped One-Shoulder Midi-Dress,$775,$387.50,/static/images/crepe_draped_oneshoulder_mididress.jpg
Ramy Brook,Pina Slip Midi-Dress,$645,$217.68,/static/images/pina_slip_mididress.jpg
As It May,Aurele Tulle Fit & Flare Midi-Dress,$645,$193.49,/static/images/aurele_tulle_fit_and_flare_mididress.jpg
Amsale,Draped Cowlneck Midi-Dress,$775,$387.50,/static/images/draped_cowlneck_mididress.jpg
Dress The Population,Kailyn Floral Fit & Flare Midi-Dress,$488,$195.20,/static/images/kailyn_floral_fit_and_flare_mididress.jpg
SIMKHAI,Lollie Sequined A-Line Minidress,$357,$356.99,/static/images/lollie_sequined_aline_minidress.jpg
SACHIN BABI,Parker Beaded Shift Dress,$795,$477,/static/images/parker_beaded_shift_dress.jpg
Nicholas the Label,Valentina Sleeveless Train Minidress,$595,$223.12,/static/images/valentina_sleeveless_train_minidress.jpg
Likely,Drop 7 Dilana Guipure Lace Midi-Dress,$149,$348,/static/images/drop_7_dilana_guipure_lace_mididress.jpg
SWF,Lace Bell-Sleeve Minidress,$348,$130.49,/static/images/lace_bellsleeve_minidress.jpg
Elliatt,The New Bride Darcy Embellished Mesh Gown,$585,$292.50,/static/images/the_new_bride_darcy_embellished_mesh_gown.jpg
Norma Kamali,Strapless Side Slit Column Gown,$160,$112,/static/images/strapless_side_slit_column_gown.jpg
Cinq à Sept,Beta Ruffled-Hem Minidress,$395,$158,/static/images/beta_ruffledhem_minidress.jpg
Amsale,Rose Fil Coupe Fit-&-Flare Dress,$495,$247.50,/static/images/rose_fil_coupe_fitandflare_dress.jpg
Likely,Cameron Feather & Crystal Minidress,$398,$278.60,/static/images/cameron_feather_and_crystal_minidress.jpg
Norma Kamali,Diana Fringed Fishtail Gown,$295,$147.50,/static/images/diana_fringed_fishtail_gown.jpg
Alexia María,Ella Silk Faille Bow Minidress,"$1,125",$562.50,/static/images/ella_silk_faille_bow_minidress.jpg
Amsale,Duchess Satin Sheath Dress,$355,$177.50,/static/images/duchess_satin_sheath_dress.jpg
Givenchy,Draped Evening Dress,"$4,500","$4,500",/static/images/draped_evening_dress.jpg
